Month,Region,Category,Sales_USD,Cost_USD,Units_Sold,CSAT_Score,Primary_Feedback_Tag,Return_Rate_Pct
2026-07-01,Asia,Electronics,148000,70540,1474,3.6,Product Quality,0.0365
2026-07-01,Asia,Clothing,289000,193267,2470,3.7,Product Quality,0.059
2026-07-01,Asia,Home Goods,473000,258165,1698,4.2,Shipping Speed,0.0164
2026-07-01,Asia,School Supplies,370000,160299,1931,3.6,Packaging,0.0375
2026-07-01,Asia,Gym Equipment,213000,145462,2242,3.7,Shipping Speed,0.0543
2026-07-01,Asia,Beauty,475000,331419,2248,3.9,Pricing,0.0523
2026-07-01,Africa,Electronics,332000,186984,1645,3.8,Shipping Speed,0.0521
2026-07-01,Africa,Clothing,459000,260410,5827,3.6,Pricing,0.0477
2026-07-01,Africa,Home Goods,444000,302460,10658,3.7,Packaging,0.0443
2026-07-01,Africa,School Supplies,382000,263403,2359,3.7,Shipping Speed,0.0307
2026-07-01,Africa,Gym Equipment,288000,179431,1475,3.6,Shipping Speed,0.0444
2026-07-01,Africa,Beauty,394000,225821,1476,4.1,Product Quality,0.0379
2026-07-01,Australia,Electronics,171000,81054,756,4.8,Packaging,0.0301
2026-07-01,Australia,Clothing,461000,275340,4045,4.5,Pricing,0.0408
2026-07-01,Australia,Home Goods,165000,83591,682,4.2,Shipping Speed,0.0524
2026-07-01,Australia,School Supplies,413000,169575,1785,3.8,Pricing,0.0479
2026-07-01,Australia,Gym Equipment,119000,59271,1695,3.9,Shipping Speed,0.0598
2026-07-01,Australia,Beauty,231000,119106,1133,4.5,Product Quality,0.0397
